,EU,US
2020-01-22,0,1
2020-01-23,0,1
2020-01-24,2,2
2020-01-25,3,2
2020-01-26,3,5
2020-01-27,4,5
2020-01-28,8,5
2020-01-29,10,5
2020-01-30,10,5
2020-01-31,14,7
2020-02-01,19,8
2020-02-02,21,8
2020-02-03,23,11
2020-02-04,24,11
2020-02-05,24,11
2020-02-06,24,11
2020-02-07,26,11
2020-02-08,31,11
2020-02-09,33,8
2020-02-10,33,8
2020-02-11,35,9
2020-02-12,32,9
2020-02-13,31,10
2020-02-14,31,10
2020-02-15,28,10
2020-02-16,28,10
2020-02-17,27,10
2020-02-18,16,10
2020-02-19,16,10
2020-02-20,16,10
2020-02-21,31,10
2020-02-22,72,10
2020-02-23,164,10
2020-02-24,239,10
2020-02-25,335,9
2020-02-26,490,9
2020-02-27,701,10
2020-02-28,977,9
2020-02-29,1325,17
2020-03-01,1997,23
2020-03-02,2421,46
2020-03-03,2999,66
2020-03-04,3740,97
2020-03-05,4902,167
2020-03-06,6375,215
2020-03-07,8269,330
2020-03-08,10596,444
2020-03-09,13150,512
2020-03-10,16127,703
2020-03-11,20235,1101
2020-03-12,23459,1549
2020-03-13,33254,2145
2020-03-14,39864,2858
2020-03-15,46829,2956
2020-03-16,56514,4343
2020-03-17,65739,6124
2020-03-18,76902,8812
2020-03-19,93278,14036
2020-03-20,110202,19332
2020-03-21,126352,25649
2020-03-22,139524,33583
2020-03-23,162204,43672
2020-03-24,175945,53764
2020-03-25,198668,65694
2020-03-26,223688,83410
2020-03-27,249112,101407
2020-03-28,274549,120997
2020-03-29,293916,138540
2020-03-30,311124,157063
2020-03-31,333003,181700
2020-04-01,352404,205731
2020-04-02,368732,235609
2020-04-03,388769,266840
2020-04-04,406700,295047
2020-04-05,419455,320125
2020-04-06,434760,347634
2020-04-07,442405,376229
2020-04-08,447934,406127
2020-04-09,457552,439032
2020-04-10,473360,469153
2020-04-11,483301,496699
2020-04-12,516908,523534
2020-04-13,525075,538331
2020-04-14,530956,561115
2020-04-15,539907,585878
2020-04-16,556770,614569
2020-04-17,565366,643451
2020-04-18,569503,665497
2020-04-19,582499,686038
2020-04-20,584649,711387
2020-04-21,578620,734024
2020-04-22,577139,760056
2020-04-23,581220,791414
2020-04-24,564915,808829
2020-04-25,569418,840457
2020-04-26,571398,861530
2020-04-27,574273,879575
2020-04-28,575211,899582
2020-04-29,563111,922206
2020-04-30,556523,918720
2020-05-01,556343,942814
2020-05-02,553422,960642
2020-05-03,552961,981459
2020-05-04,550481,996906
2020-05-05,547891,1018480
2020-05-06,535611,1043617
2020-05-07,533505,1066373
2020-05-08,533336,1089594
2020-05-09,529174,1101786
2020-05-10,527438,1117915
2020-05-11,529366,1120229
2020-05-12,525914,1144629
2020-05-13,518879,1152679
2020-05-14,514536,1177312
2020-05-15,509261,1198279
2020-05-16,506458,1205751
2020-05-17,503299,1220866
2020-05-18,495799,1231722
2020-05-19,496533,1245957
2020-05-20,494199,1264658
2020-05-21,493027,1286093
2020-05-22,493147,1258517
2020-05-23,492620,1269236
2020-05-24,482753,1284552
2020-05-25,480775,1291122
2020-05-26,478372,1304260
2020-05-27,475676,1315936
2020-05-28,477294,1330268
2020-05-29,477314,1348317
2020-05-30,477113,1362532
2020-05-31,476462,1354364
2020-06-01,476703,1358245
2020-06-02,474442,1373503
2020-06-03,475184,1378071
2020-06-04,476044,1393678
2020-06-05,476560,1412198
2020-06-06,477732,1425787
2020-06-07,479475,1438000
2020-06-08,480441,1443259
2020-06-09,480184,1455053
2020-06-10,480164,1467198
2020-06-11,480980,1483360
2020-06-12,482371,1501600
2020-06-13,482996,1517936
2020-06-14,484004,1532550
2020-06-15,485053,1537692
2020-06-16,485607,1554228
2020-06-17,486945,1571099
2020-06-18,489704,1591984
2020-06-19,491554,1615864
2020-06-20,492434,1637867
2020-06-21,493163,1659633
2020-06-22,493580,1672104
2020-06-23,495396,1699943
2020-06-24,495220,1726265
2020-06-25,496609,1758737
2020-06-26,499501,1796745
2020-06-27,499563,1830951
2020-06-28,499595,1864130
2020-06-29,504580,1885465
2020-06-30,505304,1915783
2020-07-01,506928,1957594
2020-07-02,509109,1960079
2020-07-03,511066,2004957
2020-07-04,510952,1946916
2020-07-05,511097,1984361
2020-07-06,515658,2011929
2020-07-07,516194,2059622
2020-07-08,516708,2101237
2020-07-09,519081,2148835
2020-07-10,521830,2201388
2020-07-11,522872,2250349
2020-07-12,523603,2298616
2020-07-13,527888,2332218
2020-07-14,529669,2382476
