,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0
2020-02-15,0,1,0,0,0,0,0
2020-02-16,0,1,0,0,0,0,0
2020-02-17,0,1,0,0,0,0,0
2020-02-18,0,1,0,0,0,0,0
2020-02-19,0,1,0,0,0,0,0
2020-02-20,0,1,0,0,0,0,0
2020-02-21,0,1,1,0,0,0,0
2020-02-22,0,1,2,0,0,0,0
2020-02-23,0,1,3,0,0,0,0
2020-02-24,0,1,7,0,0,0,0
2020-02-25,0,1,10,0,0,0,0
2020-02-26,0,2,12,0,0,0,0
2020-02-27,0,2,17,0,0,0,0
2020-02-28,0,2,21,0,0,0,0
2020-02-29,0,2,29,0,0,0,0
2020-03-01,0,2,34,0,0,0,0
2020-03-02,0,3,52,0,0,0,0
2020-03-03,1,4,79,0,0,0,0
2020-03-04,2,4,107,0,0,0,0
2020-03-05,3,6,148,0,0,0,0
2020-03-06,5,9,197,0,0,0,1
2020-03-07,10,11,233,0,0,0,2
2020-03-08,17,19,366,0,0,0,2
2020-03-09,28,19,463,2,0,0,3
2020-03-10,35,33,631,2,0,0,7
2020-03-11,54,48,827,3,0,0,7
2020-03-12,55,48,827,3,1,0,9
2020-03-13,133,79,1266,7,1,0,10
2020-03-14,195,91,1441,9,1,0,28
2020-03-15,289,91,1809,11,1,1,43
2020-03-16,342,148,2158,17,3,1,65
2020-03-17,533,148,2503,24,3,1,81
2020-03-18,623,148,2978,28,4,1,115
2020-03-19,830,243,3405,44,6,1,158
2020-03-20,1043,450,4032,67,6,3,194
2020-03-21,1375,562,4825,84,8,4,250
2020-03-22,1772,674,5476,94,16,6,285
2020-03-23,2311,860,6077,123,21,7,359
2020-03-24,2808,1100,6820,157,28,9,508
2020-03-25,3647,1331,7503,206,30,10,694
2020-03-26,4365,1696,8215,267,49,10,877
2020-03-27,5138,1995,9134,342,58,10,1161
2020-03-28,5982,2314,10023,433,68,11,1455
2020-03-29,6803,2606,10779,533,86,13,1669
2020-03-30,7716,3024,11591,645,108,15,2043
2020-03-31,8464,3523,12428,775,128,16,2425
2020-04-01,9387,4403,13155,920,146,20,3095
2020-04-02,10348,5387,13915,1107,158,21,3747
2020-04-03,11198,6507,14681,1275,168,26,4461
2020-04-04,11947,7560,15362,1444,186,32,5221
2020-04-05,12641,8078,15887,1584,204,34,5865
2020-04-06,13341,8911,16523,1810,220,38,6433
2020-04-07,14045,10328,17127,2016,243,47,7471
2020-04-08,14792,10869,17669,2349,273,58,8505
2020-04-09,15447,12210,18279,2607,295,66,9608
2020-04-10,16081,13197,18849,2767,319,77,10760
2020-04-11,16606,13832,19468,2736,337,85,11599
2020-04-12,17209,14393,19899,3022,350,99,12285
2020-04-13,17756,14967,20465,3194,368,109,13029
2020-04-14,18056,15729,21067,3294,384,122,14073
2020-04-15,18708,17167,21645,3804,393,134,14915
2020-04-16,19315,17920,22170,4052,410,142,15944
2020-04-17,20002,18681,22745,4352,431,156,16879
2020-04-18,20043,19323,23227,4459,443,172,17994
2020-04-19,20453,19718,23660,4586,452,189,18492
2020-04-20,20852,20265,24114,4862,470,199,19051
2020-04-21,21282,20796,24648,5033,491,213,20223
2020-04-22,21717,21340,25085,5279,510,225,21060
2020-04-23,22157,21856,25549,5575,522,239,21787
2020-04-24,22524,22245,25969,5760,530,262,22792
2020-04-25,22902,22614,26384,5877,536,262,23635
2020-04-26,23190,22856,26644,5976,542,272,24055
2020-04-27,23521,23293,26977,6126,549,280,24393
2020-04-28,23822,23660,27359,6314,569,291,25302
2020-04-29,24275,24087,27682,6467,580,300,26097
2020-04-30,24543,24376,27967,6623,584,312,26771
