,EU,US
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,3
2020-02-10,0,3
2020-02-11,0,3
2020-02-12,3,3
2020-02-13,4,3
2020-02-14,4,3
2020-02-15,8,3
2020-02-16,8,3
2020-02-17,9,3
2020-02-18,20,3
2020-02-19,20,3
2020-02-20,20,3
2020-02-21,22,5
2020-02-22,23,5
2020-02-23,24,5
2020-02-24,23,5
2020-02-25,30,6
2020-02-26,33,6
2020-02-27,76,6
2020-02-28,77,7
2020-02-29,78,7
2020-03-01,115,7
2020-03-02,181,7
2020-03-03,192,7
2020-03-04,309,7
2020-03-05,447,7
2020-03-06,558,7
2020-03-07,655,7
2020-03-08,688,7
2020-03-09,794,7
2020-03-10,797,8
2020-03-11,1279,8
2020-03-12,1279,12
2020-03-13,1710,12
2020-03-14,2573,12
2020-03-15,2953,12
2020-03-16,3420,17
2020-03-17,4120,17
2020-03-18,5336,105
2020-03-19,5780,121
2020-03-20,6312,147
2020-03-21,8833,176
2020-03-22,12494,178
2020-03-23,12494,178
2020-03-24,19289,348
2020-03-25,22994,361
2020-03-26,29082,681
2020-03-27,34154,869
2020-03-28,40587,1072
2020-03-29,46516,2665
2020-03-30,55569,5644
2020-03-31,63979,7024
2020-04-01,74357,8474
2020-04-02,86469,9001
2020-04-03,96634,9707
2020-04-04,105993,14652
2020-04-05,114865,17448
2020-04-06,120456,19581
2020-04-07,135353,21763
2020-04-08,155768,23559
2020-04-09,171609,25410
2020-04-10,181887,28790
2020-04-11,193794,31270
2020-04-12,203839,32988
2020-04-13,212934,43482
2020-04-14,223338,47763
2020-04-15,235691,52096
2020-04-16,251741,54703
2020-04-17,264126,58545
2020-04-18,272165,64840
2020-04-19,281531,70337
2020-04-20,292237,72329
2020-04-21,313691,75204
2020-04-22,328030,77366
2020-04-23,341515,80203
2020-04-24,359992,99079
2020-04-25,368423,100372
2020-04-26,376709,106988
2020-04-27,385056,111424
2020-04-28,394769,115936
2020-04-29,413849,120720
2020-04-30,428940,153947
2020-05-01,437012,164015
2020-05-02,447845,175382
2020-05-03,454098,180152
2020-05-04,461987,187180
2020-05-05,471556,189791
2020-05-06,494069,189910
2020-05-07,504244,195036
2020-05-08,512921,198993
2020-05-09,523023,212534
2020-05-10,529720,216169
2020-05-11,534706,232733
2020-05-12,544078,230287
2020-05-13,555661,243430
2020-05-14,565903,246414
2020-05-15,576573,250747
2020-05-16,583454,268376
2020-05-17,589877,272265
2020-05-18,600965,283178
2020-05-19,605460,289392
2020-05-20,612752,294312
2020-05-21,618266,298418
2020-05-22,624038,350135
2020-05-23,628304,361239
2020-05-24,641203,366736
2020-05-25,645450,379157
2020-05-26,651313,384902
2020-05-27,657231,391508
2020-05-28,664021,399991
2020-05-29,668706,406446
2020-05-30,674049,416461
2020-05-31,677436,444758
2020-06-01,679269,458231
2020-06-02,683318,463868
2020-06-03,687302,479258
2020-06-04,690528,485002
2020-06-05,694496,491706
2020-06-06,697769,500849
2020-06-07,699603,506367
2020-06-08,701480,518522
2020-06-09,705265,524855
2020-06-10,708495,533504
2020-06-11,711978,540292
2020-06-12,715297,547386
2020-06-13,718654,556606
2020-06-14,720914,561816
2020-06-15,722693,576334
2020-06-16,725752,583503
2020-06-17,728700,592191
2020-06-18,731420,599115
2020-06-19,734432,606715
2020-06-20,736960,617460
2020-06-21,738827,622133
2020-06-22,740974,640198
2020-06-23,744120,647548
2020-06-24,748489,656161
2020-06-25,751379,663562
2020-06-26,754257,670809
2020-06-27,756962,679308
2020-06-28,758590,685164
2020-06-29,760009,705203
2020-06-30,762654,720631
2020-07-01,765673,729994
2020-07-02,767957,781970
2020-07-03,770240,790404
2020-07-04,772606,894325
2020-07-05,774607,906763
2020-07-06,776188,924148
2020-07-07,778590,936476
2020-07-08,781322,953462
2020-07-09,783981,969111
2020-07-10,786011,983185
2020-07-11,787776,995576
2020-07-12,789401,1006326
2020-07-13,791508,1031939
2020-07-14,792871,1049098
