,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0
2020-02-12,0,2,0,0,0,0,1
2020-02-13,0,2,0,1,0,0,1
2020-02-14,0,2,0,1,0,0,1
2020-02-15,2,4,0,1,0,0,1
2020-02-16,2,4,0,1,0,0,8
2020-02-17,2,4,0,1,0,0,8
2020-02-18,2,4,0,12,0,0,8
2020-02-19,2,4,0,12,0,0,8
2020-02-20,2,4,0,12,0,0,8
2020-02-21,2,4,0,14,0,0,8
2020-02-22,2,4,1,14,0,0,8
2020-02-23,2,4,2,14,0,0,8
2020-02-24,2,4,1,14,0,0,8
2020-02-25,2,11,1,14,0,0,8
2020-02-26,2,11,3,15,0,0,8
2020-02-27,2,11,45,16,0,0,8
2020-02-28,2,11,46,16,0,0,8
2020-02-29,2,12,46,16,0,0,8
2020-03-01,2,12,83,16,0,0,8
2020-03-02,2,12,149,16,0,0,8
2020-03-03,2,12,160,16,0,0,8
2020-03-04,2,12,276,16,0,0,8
2020-03-05,2,12,414,16,0,0,8
2020-03-06,2,12,523,17,0,0,8
2020-03-07,30,12,589,18,0,0,18
2020-03-08,30,12,622,18,0,0,18
2020-03-09,32,12,724,18,2,0,18
2020-03-10,32,12,724,18,4,0,18
2020-03-11,183,12,1045,25,4,0,18
2020-03-12,183,12,1045,25,4,0,18
2020-03-13,193,12,1439,46,6,0,18
2020-03-14,517,12,1966,46,6,1,18
2020-03-15,517,12,2335,46,6,1,18
2020-03-16,530,12,2749,67,6,1,20
2020-03-17,1028,12,2941,67,1,2,52
2020-03-18,1081,12,4025,105,9,2,65
2020-03-19,1107,12,4440,113,9,2,65
2020-03-20,1588,12,4440,180,9,2,65
2020-03-21,2125,12,6072,233,9,7,65
2020-03-22,2575,2200,7024,266,9,16,65
2020-03-23,2575,2200,7024,266,9,16,65
2020-03-24,3794,3243,8326,3243,9,21,135
2020-03-25,5367,3900,9362,3547,9,21,135
2020-03-26,7015,4948,10361,5673,112,28,135
